Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -74
NaN,0.0000,0.0000
1.1425,985355.2054,985355.2054
1.1475,5799498.4760,5799498.4760
1.1500,4159577.8967,4528148.0900
1.1525,-9365528.2120,9443089.5222
1.1550,20660230.8695,20910279.0495
1.1575,-37583753.0029,37867403.9690
1.1600,48019662.3728,49094228.2441
1.1625,-51134777.0074,80354649.5830
1.1650,-80024370.0948,80409565.6187
1.1675,-28580355.6173,90329217.5865
1.1725,-10691971.7157,10817024.0165
1.1750,-8854207.0178,8938532.7989
1.1775,4722668.4341,10120003.7874
1.1800,-10554719.4392,10646900.3950
1.1825,2030870.0841,2184869.7114
1.1850,-3622603.5802,3643423.1410
1.1875,2186957.3096,2186957.3096
1.1900,-1135783.9588,1150995.3512
