Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -169
58000,2992,2992
59000,71298,71298
60000,81916.2,81916.2
61000,4664.5,4664.5
63000,8728.3,8728.3
64000,21735,21735
65000,83670,83670
66000,-9743.499999999998,17538.3
66500,18847.8,18847.8
67000,45308,45308
67500,-2435.2,12176
68000,-49871.200000000004,55120.799999999996
69500,16246.5,22745.100000000002
70000,-41578.8,228683.4
71000,35058.6,35058.6
72000,21375.5,38475.899999999994
72250,26146.800000000003,26146.800000000003
73000,-27401.4,63936.6
74000,61508.2,61508.2
74300,9501,9501
75000,85253.4,113671.2
76000,-41181.299999999996,114392.5
77250,41718.00000000001,41718.00000000001
78000,-80724,165291.99999999997
79250,25835.199999999997,25835.199999999997
80000,210411.6,210411.6
81000,16501.1,16501.1
83000,-3132.7999999999997,9398.4
87000,5629.4,5629.4
88000,4227.6,4227.6
89500,631.6,4421.2
90000,50964.6,50964.6
93000,10140,11700
96500,1389.9999999999998,1389.9999999999998
