Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 132
62000,180.8000,180.8000
63000,1128.4000,1128.4000
63500,371.4000,371.4000
65000,2629.2000,2629.2000
65500,-1624.0000,2923.2000
68000,2826.6000,2826.6000
69500,7802.0000,7802.0000
70000,-6356.7000,8172.9000
72000,8024.5000,8024.5000
73000,-14264.8000,32095.8000
73500,23584.4000,23584.4000
74000,0.0000,20297.2000
74500,6738.0000,6738.0000
75000,-12451.2000,23346.0000
76000,810.0000,1350.0000
76500,858.6000,858.6000
77500,48.1000,240.5000
78000,211.8000,847.2000
79000,90.0000,330.0000
80000,248.0000,347.2000
80500,99.0000,257.4000
