Strike,Net GEX,Abs/Proxy Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP 0
47500.0000,-285.0000,285.0000,0,57,57,-1.000000,1.00000000,135.0300,1.000000,0.000000,1.000000,16603.000000,0.020000,-0.171000,73,1691.60640,99,26,ACCELERATION
50000.0000,-370.0000,370.0000,0,74,74,-1.000000,1.00000000,113.4300,1.000000,0.000000,1.000000,14103.000000,0.025000,-0.179000,89,1903.39239,100,31,ACCELERATION
52000.0000,-140.0000,140.0000,0,28,28,-1.000000,1.00000000,96.1800,1.000000,0.000000,1.000000,12104.000000,0.027000,-0.170000,49,1332.01463,73,17,ACCELERATION
57500.0000,-200.0000,210.0000,1,41,42,-0.952381,1.00000000,76.1000,0.990000,-0.010000,1.000000,6624.000000,1.007000,-9.702000,62,1503.40142,83,22,ACCELERATION
62500.0000,-185.0000,195.0000,1,38,39,-0.948718,1.00000000,46.5600,0.820000,-0.180000,1.000000,1980.000000,10.507000,-169.177000,60,1494.81598,80,21,ACCELERATION
64000.0000,-90.0000,140.0000,5,23,28,-0.642857,1.00000000,41.8400,0.530000,-0.470000,1.000000,1319.000000,15.693000,-310.657000,45,1306.20511,58,16,ACCELERATION
67500.0000,65.0000,275.0000,34,21,55,0.236364,1.00000000,50.9000,0.050000,-0.950000,1.000000,3480.000000,4.158000,-42.475000,55,1444.91955,20,55,RESIST/SUPPORT
70000.0000,120.0000,140.0000,26,2,28,0.857143,1.00000000,62.3400,0.010000,-0.990000,1.000000,5913.000000,1.188000,-9.552000,47,1302.19487,31,47,RESIST/SUPPORT
72000.0000,150.0000,150.0000,30,0,30,1.000000,1.00000000,68.1200,0.000000,-1.000000,1.000000,7899.000000,0.360000,-2.369000,51,1354.57607,36,51,RESIST/SUPPORT
78000.0000,245.0000,245.0000,49,0,49,1.000000,1.00000000,96.8000,0.000000,-1.000000,1.000000,13894.000000,0.077000,-0.542000,67,1588.58383,42,67,RESIST/SUPPORT
105000.0000,315.0000,315.0000,63,0,63,1.000000,1.00000000,250.9000,0.000000,-1.000000,1.000000,40894.000000,0.122000,-2.344000,67,1704.24998,52,67,RESIST/SUPPORT
