Strike,Net GEX (Vega),Abs Vega Gamma
FP -373
50000,8430.30,8430.30
58000,18199.90,18199.90
60000,4825.50,4825.50
61000,15190.00,15190.00
61500,6959.40,6959.40
62000,9880.80,9880.80
63000,36072.40,36072.40
63500,8788.80,8788.80
65000,37321.20,37321.20
65500,-19060.00,34308.00
68000,15801.60,15801.60
69500,32087.00,32087.00
70000,-27267.20,34084.00
71500,36990.00,36990.00
72000,21765.50,21765.50
73000,19560.00,29340.00
74000,27203.50,48966.30
75000,-48071.20,132195.80
78000,-7538.00,128146.00
79000,23739.90,55393.10
80000,81836.00,114570.40
81000,-8334.80,75013.20
82000,-33426.40,50139.60
85000,45970.20,45970.20
88000,55642.50,55642.50
89000,33765.60,33765.60
90000,321778.80,321778.80
92000,82604.00,82604.00
96000,18500.30,18500.30
100000,16695.00,16695.00
