Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -223
1.1100,-236974750.0000,236974750.0000,0,460,460,-1.000000,4.12130000,9.8000,0.970000,-0.030000,1.000000,0.032800,0.000100,-0.000100,14.52,0.00084,49.52,5.08,ACCELERATION
1.1150,-2797295475.0000,2797295475.0000,0,3666,3666,-1.000000,6.10430000,9.2400,0.950000,-0.050000,1.000000,0.028000,0.000200,-0.000100,21.17,0.00096,53.86,7.41,ACCELERATION
1.1200,-2436242762.5000,2436242762.5000,0,2143,2143,-1.000000,9.09470000,8.7100,0.920000,-0.080000,1.000000,0.023400,0.000300,-0.000100,20.61,0.00094,50.99,7.21,ACCELERATION
1.1225,-894811500.0000,894811500.0000,0,660,660,-1.000000,10.84620000,8.2300,0.910000,-0.090000,1.000000,0.021100,0.000300,-0.000100,18.11,0.00090,47.34,6.34,ACCELERATION
1.1250,-5290711025.0000,5290711025.0000,0,3167,3167,-1.000000,13.36460000,8.1800,0.880000,-0.120000,1.000000,0.019100,0.000400,-0.000200,26.67,0.00105,54.75,9.33,ACCELERATION
1.1275,-4557953775.0000,4557953775.0000,0,2271,2271,-1.000000,16.05620000,7.9500,0.850000,-0.150000,1.000000,0.017100,0.000400,-0.000200,26.05,0.00104,52.97,9.12,ACCELERATION
1.1300,-18049182900.0000,18077577000.0000,6,7634,7640,-0.998429,18.92940000,7.9400,0.800000,-0.190000,0.990000,0.015500,0.000500,-0.000200,48.89,0.00139,74.63,17.11,ACCELERATION
1.1325,-5938714000.0000,5944264200.0000,1,2141,2142,-0.999066,22.20080000,7.5600,0.760000,-0.240000,1.000000,0.013700,0.000600,-0.000200,30.25,0.00112,54.85,10.59,ACCELERATION
1.1350,-9057201200.0000,9690703500.0000,101,2989,3090,-0.934628,25.08920000,7.4800,0.710000,-0.290000,1.000000,0.012400,0.000600,-0.000300,36.41,0.00122,58.57,12.75,ACCELERATION
1.1375,-2983790187.5000,3136626937.5000,22,881,903,-0.951274,27.78850000,7.3100,0.640000,-0.360000,1.000000,0.011400,0.000700,-0.000300,27.77,0.00111,49.10,9.72,ACCELERATION
1.1400,-43680059500.0000,45911832875.0000,299,12003,12302,-0.951390,29.85650000,7.1600,0.570000,-0.430000,1.000000,0.010600,0.000700,-0.000300,94.66,0.00203,100.00,33.13,ACCELERATION
1.1425,232044000.0000,2939224000.0000,410,350,760,0.078947,30.93920000,7.0300,0.500000,-0.500000,1.000000,0.010300,0.000700,-0.000300,20.82,0.00104,6.78,20.82,RESIST/SUPPORT
1.1450,-24672163250.0000,38011162750.0000,1739,8172,9911,-0.649077,30.68200000,6.9500,0.420000,-0.580000,1.000000,0.010400,0.000700,-0.000300,72.83,0.00175,86.96,25.49,ACCELERATION
1.1475,1963011600.0000,2476071450.0000,597,69,666,0.792793,29.74260000,6.7200,0.340000,-0.660000,1.000000,0.010700,0.000700,-0.000200,25.82,0.00108,24.62,25.82,RESIST/SUPPORT
1.1500,5860212625.0000,17863707375.0000,3520,1781,5301,0.328051,26.95900000,6.6600,0.270000,-0.730000,1.000000,0.011600,0.000600,-0.000200,37.85,0.00126,19.49,37.85,RESIST/SUPPORT
1.1525,3457270162.5000,3660810037.5000,1224,35,1259,0.944400,23.26170000,6.6800,0.210000,-0.790000,1.000000,0.013000,0.000500,-0.000200,26.31,0.00106,30.08,26.31,RESIST/SUPPORT
1.1550,3736575250.0000,9661061250.0000,2777,1228,4005,0.386767,19.29800000,6.6300,0.150000,-0.850000,1.000000,0.014500,0.000400,-0.000200,27.31,0.00108,20.33,27.31,RESIST/SUPPORT
1.1575,232039425.0000,232039425.0000,122,0,122,1.000000,15.21570000,6.5400,0.110000,-0.890000,1.000000,0.016300,0.000300,-0.000100,18.44,0.00090,31.53,18.44,RESIST/SUPPORT
1.1600,8822585200.0000,11526566025.0000,6901,917,7818,0.765413,11.79490000,6.6800,0.080000,-0.920000,1.000000,0.018500,0.000300,-0.000100,34.98,0.00118,32.13,34.98,RESIST/SUPPORT
1.1650,1044392062.5000,4022744062.5000,2831,1664,4495,0.259622,7.15950000,7.1800,0.040000,-0.950000,0.990000,0.023100,0.000200,-0.000100,17.66,0.00091,19.99,17.66,RESIST/SUPPORT
1.1675,905140775.0000,905140775.0000,1309,0,1309,1.000000,5.53180000,7.4100,0.030000,-0.970000,1.000000,0.025500,0.000100,-0.000100,16.89,0.00085,35.76,16.89,RESIST/SUPPORT
1.1700,-507534550.0000,2240431400.0000,1714,2718,4432,-0.226534,4.04410000,7.4900,0.020000,-0.980000,1.000000,0.027900,0.000100,0.000000,15.07,0.00086,32.29,5.27,ACCELERATION
