Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -391
NaN,0.0000,0.0000
1.1050,450285.1864,450285.1864
1.1150,1344867.8681,1344867.8681
1.1200,1625303.2041,1625303.2041
1.1250,6129996.6519,6129996.6519
1.1300,-19522416.3913,19750748.7468
1.1475,-34516776.4839,68923275.7267
1.1500,32265634.1628,33123192.5458
1.1525,-149097.3052,62471770.8801
1.1550,-35534572.9795,35620821.9430
1.1575,180752.3719,36403527.6989
1.1600,-10865314.0062,10923729.6729
1.1625,-764275.1427,14071654.0984
1.1650,-7223888.2768,7292523.7948
1.1675,4630617.4141,5124896.8010
1.1700,-4023242.7399,4105140.8109
1.1725,2370590.6933,2370590.6933
1.1775,2795235.2724,2795235.2724
1.1800,-1843082.0095,1860889.5651
1.1850,-2070556.4702,2092237.6898
1.1900,1249411.6449,2091848.8126
1.1950,-1489590.3044,1493022.5402
