Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -232
1.1225,-285908175.0000,285908175.0000,0,167,167,-1.000000,13.69620000,7.2600,0.890000,-0.110000,1.000000,0.018200,0.000400,-0.000100,17.83,0.00092,46.97,6.24,ACCELERATION
1.1250,-6984533287.5000,6984533287.5000,0,3329,3329,-1.000000,16.78470000,7.1600,0.850000,-0.150000,1.000000,0.016300,0.000400,-0.000200,29.32,0.00112,57.04,10.26,ACCELERATION
1.1275,-5679119437.5000,5679119437.5000,0,2265,2265,-1.000000,20.05870000,7.0800,0.810000,-0.190000,1.000000,0.014600,0.000500,-0.000200,28.30,0.00111,54.60,9.90,ACCELERATION
1.1300,-22162398937.5000,22197433687.5000,6,7597,7603,-0.998422,23.35650000,6.9800,0.760000,-0.240000,1.000000,0.013100,0.000600,-0.000200,53.76,0.00149,78.62,18.82,ACCELERATION
1.1325,-7082743850.0000,7089388075.0000,1,2133,2134,-0.999063,26.57690000,6.8300,0.700000,-0.300000,1.000000,0.011800,0.000700,-0.000200,32.86,0.00119,56.30,11.50,ACCELERATION
1.1350,-11739791887.5000,12347725537.5000,82,3249,3331,-0.950766,29.65530000,6.6100,0.630000,-0.370000,1.000000,0.010600,0.000700,-0.000200,41.18,0.00131,62.24,14.41,ACCELERATION
1.1375,-3365038550.0000,3540467100.0000,22,866,888,-0.950450,31.89610000,6.4400,0.560000,-0.440000,1.000000,0.009900,0.000800,-0.000200,29.87,0.00116,49.50,10.45,ACCELERATION
1.1400,-47147146400.0000,49631537300.0000,309,12037,12346,-0.949943,32.16040000,6.4400,0.480000,-0.520000,1.000000,0.009900,0.000800,-0.000200,95.84,0.00207,100.00,33.54,ACCELERATION
1.1425,182467625.0000,2959148875.0000,396,350,746,0.061662,31.73350000,6.3100,0.390000,-0.600000,0.990000,0.010000,0.000700,-0.000200,19.82,0.00103,8.40,19.82,RESIST/SUPPORT
1.1450,-24143588212.5000,36172947462.5000,1630,8173,9803,-0.667449,29.51990000,6.2800,0.320000,-0.680000,1.000000,0.010700,0.000700,-0.000200,65.32,0.00167,82.30,22.86,ACCELERATION
1.1475,1757695075.0000,2196288175.0000,595,66,661,0.800303,26.58140000,6.1100,0.240000,-0.760000,1.000000,0.011600,0.000600,-0.000200,23.28,0.00105,26.88,23.28,RESIST/SUPPORT
1.1500,4866530350.0000,14896399000.0000,3529,1791,5320,0.326692,22.40060000,6.1600,0.180000,-0.820000,1.000000,0.013100,0.000500,-0.000200,31.65,0.00118,20.92,31.65,RESIST/SUPPORT
1.1525,2675525975.0000,2834109225.0000,1216,35,1251,0.944045,18.12380000,6.1400,0.130000,-0.870000,1.000000,0.014800,0.000400,-0.000100,22.44,0.00099,32.39,22.44,RESIST/SUPPORT
1.1550,2692742875.0000,6962191875.0000,2777,1228,4005,0.386767,13.90700000,6.0700,0.090000,-0.910000,1.000000,0.016700,0.000300,-0.000100,22.08,0.00100,22.57,22.08,RESIST/SUPPORT
1.1575,161470050.0000,161470050.0000,122,0,122,1.000000,10.58820000,6.2200,0.060000,-0.930000,0.990000,0.019000,0.000200,-0.000100,16.29,0.00086,34.81,16.29,RESIST/SUPPORT
1.1600,5972637175.0000,7804673050.0000,6881,915,7796,0.765264,8.00890000,6.4000,0.050000,-0.950000,1.000000,0.021300,0.000200,-0.000100,28.06,0.00110,34.48,28.06,RESIST/SUPPORT
1.1650,580728375.0000,2236824375.0000,2831,1664,4495,0.259622,3.98100000,6.4900,0.020000,-0.980000,1.000000,0.026000,0.000100,0.000000,14.90,0.00087,23.92,14.90,RESIST/SUPPORT
