Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 8
NaN,NaN,NaN
1.2950,75642.4800,75642.4800
1.3050,89100.1800,89100.1800
1.3100,-244317.2000,256370.8000
1.3150,323523.9000,323523.9000
1.3200,-359835.4800,700369.4400
1.3300,-540560.3100,655316.1300
1.3350,199157.2800,201528.2000
1.3425,655849.8400,655849.8400
1.3450,-529994.8900,2504187.8900
1.3475,651193.6200,651193.6200
1.3500,-412594.5600,415869.1200
1.3550,-1614814.0800,1618242.5600
1.3575,30739.3200,218590.7200
1.3600,-214742.4300,218071.7700
1.3625,171759.2200,171759.2200
1.3650,-263745.2700,266830.0100
1.3675,253732.5000,253732.5000
1.3700,1174988.1600,1207290.2400
1.3725,166165.3600,166165.3600
1.3750,757876.5000,757876.5000
1.3800,132421.5200,862529.3600
1.3825,0.0000,0.0000
1.3850,366612.7500,366612.7500
1.3900,192272.4000,196545.1200
1.3950,163584.2400,163584.2400
1.4000,42320.4700,42320.4700
1.4350,0.0000,0.0000
