Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP 14
1.3050,-50879937.5000,50879937.5000,0,238,238,-1.000000,3.42050000,7.4900,0.960000,-0.040000,1.000000,0.042900,0.000300,0.000000,18.49,0.00088,48.53,6.47,ACCELERATION
1.3100,-165835168.7500,169369843.7500,6,569,575,-0.979130,4.71290000,7.3300,0.940000,-0.060000,1.000000,0.038300,0.000400,-0.000100,26.71,0.00102,55.14,9.35,ACCELERATION
1.3150,-94779781.2500,95553493.7500,1,246,247,-0.991903,6.18970000,6.9800,0.920000,-0.070000,0.990000,0.033700,0.000500,-0.000100,22.07,0.00094,49.56,7.72,ACCELERATION
1.3175,-158958106.2500,158958106.2500,0,353,353,-1.000000,7.20490000,6.9400,0.910000,-0.090000,1.000000,0.031500,0.000500,-0.000100,26.49,0.00101,53.55,9.27,ACCELERATION
1.3200,-268537750.0000,285063150.0000,16,536,552,-0.942029,8.26270000,6.8400,0.890000,-0.110000,1.000000,0.029400,0.000600,-0.000100,33.52,0.00111,58.82,11.73,ACCELERATION
1.3225,-327828487.5000,327828487.5000,0,558,558,-1.000000,9.40010000,6.6800,0.870000,-0.120000,0.990000,0.027300,0.000700,-0.000100,37.31,0.00117,63.17,13.06,ACCELERATION
1.3250,-343714218.7500,346383843.7500,2,517,519,-0.992293,10.67850000,6.6000,0.850000,-0.150000,1.000000,0.025400,0.000700,-0.000100,38.67,0.00119,63.79,13.53,ACCELERATION
1.3275,-353645625.0000,353645625.0000,0,470,470,-1.000000,12.03900000,6.4600,0.830000,-0.170000,1.000000,0.023500,0.000800,-0.000100,39.74,0.00120,64.41,13.91,ACCELERATION
1.3300,-308887843.7500,546234906.2500,141,508,649,-0.565485,13.46650000,6.3600,0.800000,-0.200000,1.000000,0.021800,0.000900,-0.000100,39.43,0.00123,54.82,13.80,ACCELERATION
1.3350,156342725.0000,466997750.0000,307,153,460,0.334783,16.24340000,6.2500,0.730000,-0.270000,1.000000,0.019000,0.001100,-0.000200,31.48,0.00115,17.45,31.48,RESIST/SUPPORT
1.3400,438963800.0000,633798000.0000,457,83,540,0.692593,18.77920000,6.0800,0.640000,-0.350000,0.990000,0.016700,0.001200,-0.000200,49.53,0.00138,27.93,49.53,RESIST/SUPPORT
1.3425,562222237.5000,562222237.5000,451,0,451,1.000000,19.94580000,5.9400,0.600000,-0.400000,1.000000,0.015800,0.001300,-0.000200,56.27,0.00146,35.16,56.27,RESIST/SUPPORT
1.3450,-236433712.5000,2373381037.5000,827,1010,1837,-0.099619,20.67180000,5.8700,0.550000,-0.450000,1.000000,0.015300,0.001300,-0.000200,70.34,0.00175,72.83,24.62,ACCELERATION
1.3475,519590212.5000,588340062.5000,419,26,445,0.883146,21.15380000,5.7800,0.500000,-0.500000,1.000000,0.015000,0.001300,-0.000200,55.43,0.00146,31.62,55.43,RESIST/SUPPORT
1.3500,703408162.5000,832498050.0000,583,49,632,0.844937,21.07590000,5.7400,0.440000,-0.560000,1.000000,0.015100,0.001300,-0.000200,66.23,0.00160,34.15,66.23,RESIST/SUPPORT
1.3525,506127506.2500,521660831.2500,397,6,403,0.970223,20.71110000,5.6800,0.390000,-0.610000,1.000000,0.015300,0.001200,-0.000200,53.15,0.00142,33.98,53.15,RESIST/SUPPORT
1.3550,118775400.0000,1962268587.5000,841,745,1586,0.060530,19.79590000,5.6700,0.340000,-0.660000,1.000000,0.016000,0.001200,-0.000200,56.65,0.00156,17.26,56.65,RESIST/SUPPORT
1.3600,233287206.2500,248337993.7500,224,7,231,0.939394,17.20090000,5.5900,0.240000,-0.750000,0.990000,0.018000,0.001000,-0.000100,34.90,0.00116,30.59,34.90,RESIST/SUPPORT
1.3650,377685000.0000,659232000.0000,604,164,768,0.572917,13.73400000,5.5800,0.170000,-0.830000,1.000000,0.021000,0.000800,-0.000100,44.18,0.00128,26.77,44.18,RESIST/SUPPORT
1.3700,450488887.5000,526320112.5000,760,59,819,0.855922,10.28220000,5.6800,0.110000,-0.890000,1.000000,0.024700,0.000600,-0.000100,45.49,0.00127,33.95,45.49,RESIST/SUPPORT
1.3750,163055287.5000,163055287.5000,357,0,357,1.000000,7.30780000,5.7600,0.070000,-0.930000,1.000000,0.028900,0.000400,-0.000100,26.82,0.00100,33.36,26.82,RESIST/SUPPORT
1.3900,69701493.7500,70039031.2500,414,1,415,0.995181,2.70030000,6.5600,0.020000,-0.970000,0.990000,0.043100,0.000200,0.000000,20.13,0.00089,35.17,20.13,RESIST/SUPPORT
1.4100,7778312.5000,7778312.5000,115,0,115,1.000000,1.08220000,8.2000,0.010000,-0.990000,1.000000,0.062900,0.000100,0.000000,14.22,0.00081,38.56,14.22,RESIST/SUPPORT
