Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -11.68
3600.0,0.0000,0.0000
3650.0,0.0000,0.0000
3700.0,-39151677.1331,41803780.5799
3750.0,-20819012.0573,22244517.6599
3800.0,-28841624.9838,40179367.2188
3850.0,-38621256.4438,39085374.5470
3900.0,-40245669.8049,51948076.2639
3950.0,-10310052.1494,13923543.0956
3975.0,-2834435.5588,9961963.5720
3980.0,-5552841.5917,6315321.3327
4000.0,-52478496.9532,88712860.2949
4025.0,-745904.0944,14304782.9661
4035.0,-1757018.5335,5536265.9452
4050.0,-3779247.4117,30565492.2242
4075.0,-18465270.2482,33847470.2396
4085.0,-11205137.0627,13393122.4063
4100.0,-16244133.6116,95807237.0151
4120.0,132605.1723,10210598.2701
4125.0,14453963.7850,22940694.8147
4150.0,-1707291.5939,85314852.7537
4165.0,2967040.7311,7276708.8321
4175.0,-2635527.8002,7906583.4007
4190.0,-4210214.2218,5237904.3074
4200.0,13724635.3371,62291279.7063
4205.0,-5436812.0659,6033535.3414
4225.0,4309668.1010,9812782.7531
4245.0,-3398007.5412,5353933.8332
4250.0,25112104.5117,68871811.3837
4255.0,-14453963.7850,15150140.9398
4260.0,248634.6981,5486539.0055
4270.0,-4193638.5752,5585992.8848
4280.0,-1773594.1800,10823897.1922
4290.0,1292900.4303,15116989.6467
4300.0,38107411.4010,74474379.9150
4305.0,795631.0340,18631026.7137
4325.0,-4889815.7300,9332089.0034
4330.0,8602760.5555,11453771.7608
4350.0,9182908.1845,51716017.2123
4355.0,9514421.1153,14056148.2680
4360.0,4210214.2218,9514421.1153
4400.0,32604296.7489,99072639.3839
4410.0,-2950465.0845,8917697.8398
4425.0,2022228.8782,6232443.0999
4450.0,-3994730.8167,32869507.0936
4455.0,-3016767.6707,6000384.0483
4470.0,20321742.6610,24333049.1242
4475.0,1243173.4907,8934273.4864
4480.0,18316089.4294,22990421.7543
4500.0,45549876.6985,111156285.7133
4520.0,0.0000,0.0000
4525.0,0.0000,0.0000
