Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -3.43
4200.0000,-316.7000,587.1000,1352,4519,5871,-0.539431,0.00100000,27.8600,0.950000,-0.030000,0.980000,136.200000,0.206000,-1.026000,46.30,0.00135,72.09,16.21,ACCELERATION
4250.0000,-292.8000,552.0000,432,1408,1840,-0.530435,0.00300000,24.4400,0.900000,-0.100000,1.000000,90.600000,0.465000,-2.936000,38.00,0.00117,63.48,13.30,ACCELERATION
4255.0000,-171.3000,204.9000,56,627,683,-0.836018,0.00300000,24.1800,0.890000,-0.110000,1.000000,86.400000,0.504000,-3.296000,27.13,0.00101,58.70,9.49,ACCELERATION
4265.0000,-64.2000,153.0000,148,362,510,-0.419608,0.00300000,23.7600,0.860000,-0.140000,1.000000,78.500000,0.592000,-4.169000,17.36,0.00090,40.59,6.08,ACCELERATION
4270.0000,-137.2000,433.2000,370,713,1083,-0.316713,0.00400000,23.5800,0.850000,-0.150000,1.000000,74.700000,0.638000,-4.673000,25.87,0.00103,47.02,9.05,ACCELERATION
4275.0000,-146.8000,256.4000,137,504,641,-0.572543,0.00400000,23.4300,0.830000,-0.170000,1.000000,71.200000,0.686000,-5.236000,25.41,0.00102,51.67,8.89,ACCELERATION
4300.0000,-358.0000,1717.0000,1359,2075,3434,-0.208503,0.00500000,22.7500,0.720000,-0.280000,1.000000,56.500000,0.918000,-8.346000,55.58,0.00147,74.49,19.45,ACCELERATION
4315.0000,-64.2000,336.6000,227,334,561,-0.190731,0.00600000,22.5800,0.630000,-0.370000,1.000000,51.200000,1.024000,-10.050000,20.86,0.00102,39.37,7.30,ACCELERATION
4335.0000,-74.2000,512.4000,313,419,732,-0.144809,0.00700000,22.5700,0.500000,-0.500000,1.000000,48.800000,1.081000,-11.060000,24.28,0.00109,41.83,8.50,ACCELERATION
4350.0000,-112.8000,2336.4000,1853,2041,3894,-0.048279,0.00600000,22.6300,0.400000,-0.600000,1.000000,50.500000,1.049000,-10.491000,47.90,0.00142,63.48,16.77,ACCELERATION
4375.0000,65.0000,586.0000,651,521,1172,0.110922,0.00500000,22.9900,0.260000,-0.740000,1.000000,60.000000,0.881000,-7.799000,22.99,0.00103,22.51,22.99,RESIST/SUPPORT
4385.0000,-299.0000,787.0000,488,1086,1574,-0.379924,0.00500000,23.2200,0.210000,-0.780000,0.990000,65.700000,0.791000,-6.536000,41.23,0.00125,63.35,14.43,ACCELERATION
4400.0000,79.6000,2309.2000,2986,2787,5773,0.034471,0.00400000,23.5200,0.160000,-0.840000,1.000000,75.700000,0.648000,-4.734000,47.70,0.00142,27.10,47.70,RESIST/SUPPORT
4425.0000,10.2000,122.6000,332,281,613,0.083197,0.00200000,24.2700,0.090000,-0.910000,1.000000,95.600000,0.432000,-2.579000,11.32,0.00080,18.91,11.32,RESIST/SUPPORT
4440.0000,29.2000,109.2000,346,200,546,0.267399,0.00200000,24.9600,0.060000,-0.930000,0.990000,108.800000,0.334000,-1.802000,13.53,0.00083,23.11,13.53,RESIST/SUPPORT
4450.0000,228.0000,714.8000,2357,1217,3574,0.318970,0.00200000,25.7800,0.050000,-0.940000,0.990000,118.200000,0.290000,-1.513000,37.65,0.00119,30.15,37.65,RESIST/SUPPORT
4475.0000,-22.5000,131.5000,545,770,1315,-0.171103,0.00100000,27.2900,0.030000,-0.950000,0.980000,141.600000,0.192000,-0.897000,13.74,0.00084,31.45,4.81,ACCELERATION
4480.0000,32.3000,50.9000,416,93,509,0.634578,0.00100000,27.4800,0.030000,-0.950000,0.980000,146.300000,0.174000,-0.790000,14.83,0.00083,30.67,14.83,RESIST/SUPPORT
4485.0000,-26.7000,51.1000,122,389,511,-0.522505,0.00100000,27.9400,0.030000,-1.000000,1.030000,151.100000,0.163000,-0.738000,14.09,0.00083,38.81,4.93,ACCELERATION
4500.0000,159.9000,527.9000,3439,1840,5279,0.302898,0.00100000,28.7400,0.020000,-1.000000,1.020000,165.900000,0.125000,-0.534000,35.22,0.00121,29.09,35.22,RESIST/SUPPORT
