Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -2677
NaN,NaN,NaN
4360.00,-82.5000,93.1000
4370.00,-16.1000,20.1000
4400.00,-62.8000,63.6000
4425.00,-63.0000,75.0000
4430.00,-47.6000,52.8000
4440.00,-43.8000,47.8000
4450.00,65.0000,65.4000
4460.00,-53.4000,57.0000
4470.00,-47.0000,59.0000
4475.00,-35.6000,88.8000
4480.00,-34.0000,170.8000
4500.00,-90.6000,91.0000
4510.00,5.2000,31.6000
4515.00,55.2000,60.8000
4520.00,4.0000,68.0000
4525.00,11.2000,71.6000
4530.00,14.4000,42.8000
4545.00,23.4000,41.8000
4550.00,-20.8000,186.4000
4565.00,-13.8000,40.2000
4575.00,24.0000,42.0000
