Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -599
6450.0000,-34.5960,39.0600
6500.0000,-79.5910,141.1890
6550.0000,-30.1980,37.2540
6600.0000,-72.3360,88.3960
6650.0000,-40.8000,55.2480
6700.0000,-179.7900,245.4660
6725.0000,-26.9190,37.9350
6750.0000,-66.3040,145.6560
6800.0000,-385.2990,455.4830
6850.0000,-74.1180,189.8820
6900.0000,-102.1680,237.0240
6925.0000,-65.5640,65.5640
6950.0000,-18.4860,92.5860
7000.0000,-463.1340,808.5420
7025.0000,-24.0800,25.8000
7050.0000,-57.6900,129.6000
7075.0000,-19.3200,19.7800
7100.0000,-170.3520,323.3760
7125.0000,-91.5000,92.8000
7150.0000,-174.6160,249.4960
7175.0000,-24.1680,28.9380
7200.0000,-356.4550,715.4950
7250.0000,-219.5390,484.9210
7275.0000,-39.3450,42.1510
7300.0000,3.6580,419.8020
7325.0000,-31.1680,31.5520
7350.0000,-24.9480,224.1360
7375.0000,22.5080,31.0760
7400.0000,184.0230,748.4430
7425.0000,5.3250,22.5070
7450.0000,210.2400,498.9600
7475.0000,0.8140,87.9860
7500.0000,-18.8250,698.1750
7550.0000,282.8210,546.3150
7575.0000,-3.4650,38.1150
7600.0000,244.2180,566.0460
7625.0000,-21.8400,29.0160
7650.0000,-17.1600,429.4680
7700.0000,151.6130,452.3750
7725.0000,25.6120,27.8920
7750.0000,202.6500,256.9500
7800.0000,762.3360,806.1120
7825.0000,36.9600,41.0200
7850.0000,187.0000,208.2160
7900.0000,263.9700,349.6500
7950.0000,334.0770,347.4150
8000.0000,295.6720,306.3840
8025.0000,21.4620,21.4620
8050.0000,75.6700,77.7860
8100.0000,259.8400,260.5600
8150.0000,51.8700,51.8700
8200.0000,100.8600,101.5200
8250.0000,75.5750,75.6750
8300.0000,81.9630,82.0470
8350.0000,25.7940,25.7940
8400.0000,67.4700,67.4700
8450.0000,13.9620,13.9620
8500.0000,78.6940,78.8260
8550.0000,12.3210,12.5010
8600.0000,22.5680,22.6160
8650.0000,4.4590,4.4590
