Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -34.8
7270.0000,-20.6815,22.8095,16,327,343,-0.906706,0.00133000,24.4400,0.880000,-0.120000,1.000000,193.910000,1.296000,-5.679000,16.80,0.00093,49.94,5.88,ACCELERATION
7275.0000,-70.8975,75.9665,37,1072,1109,-0.933273,0.00137000,24.3000,0.870000,-0.130000,1.000000,189.860000,1.336000,-5.866000,19.89,0.00098,53.11,6.96,ACCELERATION
7280.0000,-85.3710,88.2310,20,1214,1234,-0.967585,0.00143000,24.2200,0.860000,-0.140000,1.000000,186.020000,1.381000,-6.095000,21.04,0.00100,54.50,7.36,ACCELERATION
7300.0000,-519.7980,721.6820,1231,7570,8801,-0.720259,0.00164000,23.8000,0.840000,-0.160000,1.000000,170.960000,1.559000,-6.967000,48.79,0.00144,75.52,17.08,ACCELERATION
7310.0000,-32.5500,38.6750,35,407,442,-0.841629,0.00175000,23.5900,0.820000,-0.180000,1.000000,163.780000,1.650000,-7.410000,19.03,0.00097,47.29,6.66,ACCELERATION
7320.0000,-107.4150,109.4610,11,1166,1177,-0.981308,0.00186000,23.3600,0.810000,-0.190000,1.000000,156.850000,1.740000,-7.849000,24.30,0.00105,54.46,8.51,ACCELERATION
7325.0000,-274.9440,376.8960,531,3395,3926,-0.729496,0.00192000,23.2500,0.800000,-0.200000,1.000000,153.500000,1.786000,-8.068000,34.47,0.00121,59.15,12.06,ACCELERATION
7330.0000,-46.2330,48.8070,13,480,493,-0.947262,0.00198000,23.1200,0.790000,-0.210000,1.000000,150.170000,1.831000,-8.275000,21.44,0.00102,50.03,7.50,ACCELERATION
7340.0000,-50.1900,56.9100,32,510,542,-0.881919,0.00210000,22.9200,0.770000,-0.230000,1.000000,143.930000,1.922000,-8.716000,21.90,0.00103,48.29,7.67,ACCELERATION
7350.0000,-874.3865,1229.7545,1608,9521,11129,-0.711025,0.00221000,22.6900,0.750000,-0.250000,1.000000,137.950000,2.009000,-9.126000,74.63,0.00179,96.70,26.12,ACCELERATION
7360.0000,-115.1020,123.0240,34,1022,1056,-0.935606,0.00233000,22.4300,0.730000,-0.270000,1.000000,132.230000,2.094000,-9.499000,26.99,0.00110,52.67,9.45,ACCELERATION
7365.0000,-65.0080,70.9830,25,569,594,-0.915825,0.00239000,22.3200,0.720000,-0.280000,1.000000,129.590000,2.135000,-9.688000,24.43,0.00107,49.26,8.55,ACCELERATION
7370.0000,-67.0075,75.0925,33,580,613,-0.892333,0.00245000,22.1900,0.710000,-0.290000,1.000000,126.960000,2.174000,-9.855000,24.75,0.00108,48.66,8.66,ACCELERATION
7375.0000,-117.9700,338.5990,879,1819,2698,-0.348406,0.00251000,22.0400,0.700000,-0.300000,1.000000,124.350000,2.212000,-10.003000,29.50,0.00116,42.10,10.33,ACCELERATION
7380.0000,-139.7760,147.4560,30,1122,1152,-0.947917,0.00256000,21.9800,0.680000,-0.320000,1.000000,122.260000,2.251000,-10.197000,29.75,0.00115,53.88,10.41,ACCELERATION
7385.0000,-50.3040,60.7840,40,424,464,-0.827586,0.00262000,21.7900,0.670000,-0.330000,1.000000,119.670000,2.285000,-10.300000,24.38,0.00108,45.67,8.53,ACCELERATION
7390.0000,-41.5185,50.3295,33,344,377,-0.824934,0.00267000,21.6900,0.660000,-0.340000,1.000000,117.610000,2.319000,-10.445000,24.14,0.00108,44.93,8.45,ACCELERATION
7400.0000,-689.7180,1062.5160,1341,6303,7644,-0.649137,0.00278000,21.4100,0.630000,-0.370000,1.000000,113.540000,2.380000,-10.659000,69.05,0.00170,85.43,24.17,ACCELERATION
7405.0000,-34.6675,45.1385,37,282,319,-0.768025,0.00283000,21.2400,0.620000,-0.380000,1.000000,111.530000,2.407000,-10.726000,24.33,0.00109,42.64,8.52,ACCELERATION
7410.0000,-26.2605,61.8485,124,307,431,-0.424594,0.00287000,21.1500,0.610000,-0.390000,1.000000,110.030000,2.433000,-10.823000,22.18,0.00106,33.17,7.76,ACCELERATION
7420.0000,-39.5160,68.5240,98,365,463,-0.576674,0.00296000,20.9100,0.580000,-0.420000,1.000000,107.110000,2.474000,-10.929000,24.51,0.00109,37.65,8.58,ACCELERATION
7425.0000,-644.7000,1585.8000,3137,7435,10572,-0.406546,0.00300000,20.7400,0.560000,-0.440000,1.000000,105.680000,2.490000,-10.936000,82.29,0.00190,91.58,28.80,ACCELERATION
7430.0000,-13.7250,133.8950,394,484,878,-0.102506,0.00305000,20.5500,0.550000,-0.450000,1.000000,104.250000,2.504000,-10.909000,22.33,0.00107,25.10,7.82,ACCELERATION
7440.0000,-14.5700,167.4000,493,587,1080,-0.087037,0.00310000,20.3000,0.520000,-0.480000,1.000000,102.500000,2.520000,-10.866000,23.46,0.00109,25.37,8.21,ACCELERATION
7445.0000,59.5920,152.2560,679,297,976,0.391393,0.00312000,20.2300,0.500000,-0.500000,1.000000,102.140000,2.522000,-10.841000,26.71,0.00113,15.13,26.71,RESIST/SUPPORT
7450.0000,-908.3025,1490.7375,1849,7616,9465,-0.609297,0.00315000,20.0400,0.490000,-0.510000,1.000000,101.250000,2.521000,-10.729000,89.20,0.00197,100.00,31.22,ACCELERATION
7455.0000,147.7300,184.0700,1050,115,1165,0.802575,0.00316000,19.9100,0.470000,-0.530000,1.000000,100.860000,2.516000,-10.629000,33.09,0.00121,25.84,33.09,RESIST/SUPPORT
7460.0000,-30.9075,118.7165,277,472,749,-0.260347,0.00317000,19.7600,0.450000,-0.550000,1.000000,100.510000,2.506000,-10.493000,23.49,0.00109,30.66,8.22,ACCELERATION
7465.0000,-22.6655,48.0255,80,223,303,-0.471947,0.00317000,19.6700,0.440000,-0.560000,1.000000,100.650000,2.493000,-10.372000,22.88,0.00108,34.73,8.01,ACCELERATION
7470.0000,-51.5080,336.5400,902,1228,2130,-0.153052,0.00316000,19.5600,0.420000,-0.580000,1.000000,100.860000,2.475000,-10.218000,28.44,0.00116,34.36,9.95,ACCELERATION
7475.0000,-172.5360,427.8640,808,1900,2708,-0.403250,0.00316000,19.4200,0.410000,-0.590000,1.000000,101.080000,2.452000,-10.025000,35.95,0.00126,47.32,12.58,ACCELERATION
7480.0000,-31.6575,192.6225,511,712,1223,-0.164350,0.00315000,19.2500,0.390000,-0.610000,1.000000,101.340000,2.425000,-9.795000,23.88,0.00110,30.92,8.36,ACCELERATION
7490.0000,-46.8100,150.0400,333,635,968,-0.311983,0.00310000,19.0000,0.360000,-0.640000,1.000000,102.810000,2.358000,-9.327000,23.86,0.00109,34.74,8.35,ACCELERATION
7500.0000,-158.2320,990.8880,2739,3780,6519,-0.159687,0.00304000,18.7200,0.320000,-0.680000,1.000000,104.830000,2.272000,-8.767000,46.05,0.00142,54.78,16.12,ACCELERATION
7505.0000,24.9665,62.3415,292,125,417,0.400480,0.00299000,18.5700,0.310000,-0.690000,1.000000,106.090000,2.223000,-8.461000,20.92,0.00104,19.22,20.92,RESIST/SUPPORT
